Index,0 [STRING] [0x0]
0,""
1,"寒冰"
2,"邂逅"
3,"加隆德炼铁厂"
4,"野兽"
5,"适合冬天"
6,"带胡子"
7,"休闲"
8,"奇特"
9,"奇幻"
10,"近东风格"
11,"海贼"
12,"大国防联军"
13,"野性"
14,"魔物"
15,"时尚眼镜"
16,"厨师"
17,"适合夏天"
18,"知性"
19,"自然"
20,"正式"
21,"玩偶装"
22,"帅气"
23,"前卫"
24,"探险"
25,"骑士"
26,"高贵"
27,"无赖"
28,"船员"
29,"民族特色"
30,"研究员"
31,"街头"
32,"小丑"
33,"空贼"
34,"魔术师"
35,"山贼"
36,"雅致"
37,"饿狼"
38,"绷带"
39,"妖艳"
40,"大胆"
41,"新大陆风格"
42,"装饰钉扣"
43,"劳动者"
44,"可爱"
45,"毛茸茸"
46,"流苏"
47,"典礼"
48,"家居"
49,"萌宠之王"
50,"国旗"
51,"华丽"
52,"骨头"
53,"盟友"
54,"幻想风"
55,"风"
56,"老练工匠"
57,"食材"
58,"十字架"
59,"老练武人"
60,"亚拉戈仪式"
61,"革制指环"
62,"老练采集者"
63,"读书人"
64,"绢帽"
65,"兽耳"
66,"简约"
67,"内衣"
68,"枪手"
69,"仪式"
70,"斯卡拉"
71,"长裙"
72,"性感"
73,"迷你裙"
74,"奥戴"
75,"短靴"
76,"翻折"
77,"王者"
78,"薄纱"
79,"百合"
80,"贝雷帽"
81,"针织品"
82,"三色堇"
83,"雏菊"
84,"单眼镜"
85,"无边帽"
86,"护目镜"
87,"利角"
88,"草帽"
89,"落魄武士"
90,"紫水宫"
91,"小市民"
92,"空鼠"
93,"外袍"
94,"海盗"
95,"包"
96,"紧身上衣"
97,"真麻"
98,"束腰衣"
99,"耐热装备"
100,"斗篷"
101,"阿拉米格货"
102,"礼服"
103,"短上衣"
104,"贴身背心"
105,"围巾"
106,"秋季外套"
107,"长袖紧身衣"
108,"东洋服"
109,"长手套"
110,"臂环"
111,"短手套"
112,"腕带"
113,"装饰指甲"
114,"普通手套"
115,"铁拳"
116,"萨雷安"
117,"护手"
118,"收紧下摆"
119,"喇叭裤"
120,"轻飘飘"
121,"短裤"
122,"七分裤"
123,"礼裤"
124,"垮裆"
125,"前帘"
126,"腿套"
127,"长裤"
128,"牛仔裤"
129,"山岳民族"
130,"打猎"
131,"凉鞋"
132,"紧身长靴"
133,"战靴"
134,"美神"
135,"浴衣"
136,"天动"
137,"龙堡项环"
138,"律动"
139,"红辉石"
140,"入侵"
141,"紫辉石"
142,"黄辉石"
143,"真源"
144,"洋葱"
145,"軍装"
146,"豹柄"
147,"开面盔"
148,"騎士兜"
149,"眼帯"
150,"狼毛皮"
151,"未来的"
152,"翼飾り"
153,"羽根帽子"
154,"超軽装"
155,"コロセウム"
156,"ドレープ風"
157,"ジャーキン"
158,"プレートアーマー"
159,"ノースリーブ"
160,"蛮神風"
161,"源氏"
162,"アクトン"
163,"鳞铠"
164,"覇王"
165,"アウトロー"
166,"龙脉"
167,"決闘士"
168,"革命闘士"
169,"異国アクトン"
170,"キマイラ素材"
171,"ゴールドソーサー"
172,"羅漢"
173,"リングバンド"
174,"フィンガレス"
175,"リストグローブ"
176,"リボン付き"
177,"スパイク付き"
178,"暗魔"
179,"ニーパッド"
180,"キュロット"
181,"アラミガン"
182,"ロストアラガン"
183,"チェック柄"
184,"紅蓮の装束"
185,"蒼天の装束"
186,"新生の装束"
187,"ショース"
188,"アーマードカリガ"
189,"ダックビル"
190,"パッテン"
191,"レザーシューズ"
192,"ドレスシューズ"
193,"青の輝石"
194,"緑の輝石"
195,"白の輝石"
196,"黑辉石"
197,"起動"
