Index,0 [UBYTE] [0x0],1 [BOOL] [0xF],2 [BYTE] [0x3],3 [BYTE] [0x6],4 [BYTE] [0x9],5 [BYTE] [0xC],6 [UBYTE] [0x1],7 [BOOL] [0x10],8 [BYTE] [0x4],9 [BYTE] [0x7],10 [BYTE] [0xA],11 [BYTE] [0xD],12 [UBYTE] [0x2],13 [BOOL] [0x11],14 [BYTE] [0x5],15 [BYTE] [0x8],16 [BYTE] [0xB],17 [BYTE] [0xE]
0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
1,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
2,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
3,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
4,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
5,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
6,5,true,16,12,20,15,0,false,0,0,0,0,0,false,0,0,0,0
7,4,true,16,12,20,15,0,false,0,0,0,0,0,false,0,0,0,0
8,2,true,16,12,20,15,0,false,0,0,0,0,0,false,0,0,0,0
9,3,true,16,12,20,15,0,false,0,0,0,0,0,false,0,0,0,0
10,1,true,16,12,20,15,0,false,0,0,0,0,0,false,0,0,0,0
11,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
12,5,true,16,27,20,34,0,false,0,0,0,0,0,false,0,0,0,0
13,4,true,16,27,20,34,0,false,0,0,0,0,0,false,0,0,0,0
14,2,true,16,27,20,34,0,false,0,0,0,0,0,false,0,0,0,0
15,3,true,16,28,20,35,0,false,0,0,0,0,0,false,0,0,0,0
16,1,true,16,27,20,34,0,false,0,0,0,0,0,false,0,0,0,0
17,37,true,16,22,20,27,0,false,0,0,0,0,0,false,0,0,0,0
18,42,true,16,22,20,27,0,false,0,0,0,0,0,false,0,0,0,0
19,39,true,16,22,20,27,0,false,0,0,0,0,0,false,0,0,0,0
20,40,true,16,22,20,27,0,false,0,0,0,0,0,false,0,0,0,0
21,41,true,16,22,20,27,0,false,0,0,0,0,0,false,0,0,0,0
22,38,true,16,22,20,27,0,false,0,0,0,0,0,false,0,0,0,0
23,1,true,20,34,20,34,2,true,20,34,20,34,4,true,20,34,20,34
24,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
25,5,true,16,49,20,61,0,false,0,0,0,0,0,false,0,0,0,0
26,4,true,16,49,20,61,0,false,0,0,0,0,0,false,0,0,0,0
27,2,true,16,49,20,61,0,false,0,0,0,0,0,false,0,0,0,0
28,3,true,16,50,20,62,0,false,0,0,0,0,0,false,0,0,0,0
29,1,true,16,49,20,61,0,false,0,0,0,0,0,false,0,0,0,0
30,37,true,16,37,20,46,0,false,0,0,0,0,0,false,0,0,0,0
31,42,true,16,37,20,46,0,false,0,0,0,0,0,false,0,0,0,0
32,39,true,16,37,20,46,0,false,0,0,0,0,0,false,0,0,0,0
33,40,true,16,37,20,46,0,false,0,0,0,0,0,false,0,0,0,0
34,41,true,16,37,20,46,0,false,0,0,0,0,0,false,0,0,0,0
35,38,true,16,37,20,46,0,false,0,0,0,0,0,false,0,0,0,0
36,5,true,16,67,20,84,0,false,0,0,0,0,0,false,0,0,0,0
37,4,true,16,67,20,84,0,false,0,0,0,0,0,false,0,0,0,0
38,2,true,16,67,20,84,0,false,0,0,0,0,0,false,0,0,0,0
39,3,true,16,70,20,87,0,false,0,0,0,0,0,false,0,0,0,0
40,1,true,16,67,20,84,0,false,0,0,0,0,0,false,0,0,0,0
41,37,true,16,64,20,80,0,false,0,0,0,0,0,false,0,0,0,0
42,42,true,16,64,20,80,0,false,0,0,0,0,0,false,0,0,0,0
43,39,true,16,64,20,80,0,false,0,0,0,0,0,false,0,0,0,0
44,40,true,16,64,20,80,0,false,0,0,0,0,0,false,0,0,0,0
45,41,true,16,64,20,80,0,false,0,0,0,0,0,false,0,0,0,0
46,38,true,16,64,20,80,0,false,0,0,0,0,0,false,0,0,0,0
47,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
48,3,false,1,0,1,0,0,false,0,0,0,0,0,false,0,0,0,0
49,3,false,1,0,1,0,0,false,0,0,0,0,0,false,0,0,0,0
50,3,true,8,2,10,3,0,false,0,0,0,0,0,false,0,0,0,0
51,3,true,8,2,10,3,0,false,0,0,0,0,0,false,0,0,0,0
52,3,true,6,8,7,10,0,false,0,0,0,0,0,false,0,0,0,0
53,3,true,4,10,5,12,0,false,0,0,0,0,0,false,0,0,0,0
54,44,false,1,0,1,0,3,false,1,0,1,0,22,false,1,0,1,0
55,44,true,8,3,10,4,3,true,4,3,5,4,22,true,2,2,2,3
56,44,true,7,6,9,7,3,true,4,6,5,7,22,true,2,4,2,5
57,44,true,6,8,7,10,3,true,4,9,5,11,22,true,2,6,2,7
58,44,true,4,10,5,13,3,true,3,10,4,13,22,true,2,6,2,8
59,44,true,4,13,5,16,3,true,3,12,4,15,27,true,2,8,2,10
60,44,true,4,14,5,17,3,true,4,15,5,19,27,true,2,9,2,11
61,6,false,1,0,1,0,3,false,1,0,1,0,22,false,1,0,1,0
62,6,true,8,3,10,4,3,true,4,3,5,4,46,true,2,2,2,3
63,6,true,7,4,9,5,3,true,4,4,5,5,46,true,2,3,2,4
64,6,true,6,8,7,10,3,true,4,9,5,11,46,true,2,6,2,7
65,6,true,4,11,5,14,3,true,3,12,4,15,46,true,2,8,2,10
66,6,true,4,14,5,17,3,true,4,15,5,19,46,true,2,9,2,11
67,46,true,8,2,10,3,3,false,1,0,1,0,22,false,1,0,1,0
68,46,true,8,4,10,5,3,true,4,2,5,2,22,true,2,2,2,2
69,46,true,8,4,10,5,3,true,4,2,5,3,27,true,2,2,2,2
70,46,true,7,6,9,8,3,true,4,4,5,5,22,true,2,2,2,3
71,46,true,7,7,9,9,3,true,4,5,5,6,44,true,2,2,2,2
72,46,true,7,9,9,11,3,true,4,6,5,7,6,true,2,2,2,2
73,46,true,6,14,7,17,3,true,4,9,5,11,6,true,2,3,2,4
74,46,true,4,22,5,27,3,true,4,15,5,19,6,true,2,6,2,7
75,46,true,4,24,5,30,3,true,4,18,5,23,44,true,2,6,2,8
76,11,true,10,10,13,12,0,false,0,0,0,0,0,false,0,0,0,0
77,11,true,10,17,13,21,0,false,0,0,0,0,0,false,0,0,0,0
78,11,true,10,21,13,26,0,false,0,0,0,0,0,false,0,0,0,0
79,11,true,10,24,13,30,0,false,0,0,0,0,0,false,0,0,0,0
