Index,0 [FLOAT] [0x0],1 [FLOAT] [0x4],2 [FLOAT] [0x8],3 [FLOAT] [0xC],4 [FLOAT] [0x10],5 [FLOAT] [0x14],6 [FLOAT] [0x18],7 [UBYTE] [0x1C],8 [UBYTE] [0x1D],9 [UBYTE] [0x1E],10 [UBYTE] [0x1F]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,45,45
2,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,45,45
3,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,40,40
4,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,40,40
5,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,45,45
6,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,45,45
7,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,40,40
8,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,40,45
9,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,45,40
10,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,30,43
11,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,30,43
12,1.3,5.0,0.6,4.0,2.0,5.0,0.0,30,40,40,40
13,0.6,2.5,0.6,4.0,2.0,5.0,0.0,30,30,40,45
14,1.3,5.0,0.6,4.0,2.0,5.0,0.0,30,40,40,40
15,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,45,45
16,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30,30,45,45
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,40,50,50
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,35,45,45
