Index,0 [INT] [0x0],1 [USHORT] [0x4],2 [BBOOL] [0x6]
0,0,0,false
1,2,1,false
2,3,1,false
3,4,1,false
4,5,1,false
5,6,1,false
6,7,1,false
7,8,26,false
8,9,26,false
9,10,26,false
10,11,26,false
11,12,26,false
12,13,26,false
13,14,50,false
14,15,50,false
15,16,50,false
16,17,50,false
17,18,50,false
18,19,50,false
19,5594,1,false
20,5595,10,false
21,5596,20,false
22,5597,30,false
23,5598,40,false
24,5599,20,false
25,5600,30,false
26,5601,50,false
27,5602,51,false
28,5603,150,true
29,5814,28,false
30,5815,28,false
31,5816,28,false
32,5817,28,false
33,5818,28,false
34,5819,28,false
35,5820,28,false
36,5139,35,false
37,5138,34,false
38,5524,19,false
39,5143,44,false
40,5439,50,false
41,5134,31,false
42,5118,51,false
43,5135,33,false
44,5128,7,false
45,5168,39,false
46,5141,38,false
47,5144,37,false
48,5131,17,false
49,5491,24,false
50,5145,41,false
51,5129,18,false
52,5142,36,false
53,5263,46,false
54,5525,40,false
55,5132,17,false
56,5137,32,false
57,5136,33,false
58,5130,16,false
59,6199,51,false
60,5121,51,false
61,5133,7,false
62,5140,45,false
63,5110,9,false
64,5458,49,false
65,5116,47,false
66,5113,25,false
67,5433,8,false
68,5124,10,false
69,5432,5,false
70,5465,19,false
71,5107,6,false
72,5115,43,false
73,5488,3,false
74,5111,14,false
75,5106,1,false
76,5125,28,false
77,5114,34,false
78,5272,42,false
79,5273,51,false
80,5270,22,false
81,5526,40,false
82,5269,14,false
83,5231,30,false
84,5528,26,false
85,6152,51,false
86,5152,23,false
87,5518,12,false
88,5523,27,false
89,5228,13,false
90,5157,25,false
91,5158,51,false
92,5519,15,false
93,5229,20,false
94,5155,21,false
95,5268,11,false
96,5153,23,false
97,5154,24,false
98,5156,24,false
99,5527,29,false
100,5271,33,false
101,4842,40,false
102,4807,36,false
103,5402,9,false
104,5383,8,false
105,5050,2,false
106,4813,30,false
107,5547,51,false
108,4806,21,false
109,5388,24,false
110,5385,12,false
111,5409,31,false
112,5390,32,false
113,4803,9,false
114,5352,10,false
115,4831,10,false
116,5351,6,false
117,4811,17,false
118,4828,4,false
119,6146,42,false
120,5395,51,false
121,5562,35,false
122,4805,14,false
123,5359,29,false
124,5534,6,false
125,4844,39,false
126,4786,18,false
127,5535,23,false
128,4810,16,false
129,5537,51,false
130,5391,37,false
131,5536,44,false
132,5396,5,false
133,5380,3,false
134,5498,2,false
135,5405,20,false
136,5386,19,false
137,5509,1,false
138,4809,7,false
139,5414,47,false
140,5393,46,false
141,5516,5,false
142,4793,38,false
143,4835,23,false
144,4790,32,false
145,4788,27,false
146,4779,13,false
147,4804,13,false
148,5540,13,false
149,4829,11,false
150,5542,24,false
151,4834,16,false
152,4796,19,false
153,5560,12,false
154,4778,13,false
155,4845,41,false
156,4846,48,false
157,4822,26,false
158,4795,11,false
159,5538,11,false
160,4792,39,false
161,4819,25,false
162,4783,14,false
163,5054,45,false
164,4841,39,false
165,5051,11,false
166,4843,35,false
167,4838,35,false
168,5545,51,false
169,5546,51,false
170,6145,22,false
171,4781,15,false
172,4836,24,false
173,4816,51,false
174,6148,51,false
175,4784,15,false
176,4818,12,false
177,6147,51,false
178,4785,16,false
179,4812,21,false
180,5360,34,false
181,5564,42,false
182,4800,51,false
183,4830,14,false
184,4814,36,false
185,5541,18,false
186,4797,22,false
187,4787,18,false
188,5563,20,false
189,4798,33,false
190,4832,15,false
191,4840,37,false
192,5543,33,false
193,4789,28,false
194,4837,32,false
195,6209,51,false
196,4821,25,false
197,5559,30,false
198,5341,11,false
199,5055,49,false
200,4823,11,false
201,4782,13,false
202,5539,12,false
203,4791,34,false
204,4780,15,false
205,4820,17,false
206,4808,11,false
207,4839,34,false
208,4815,43,false
209,4777,12,false
210,5346,31,false
211,4824,11,false
212,5350,51,false
213,5343,14,false
214,5342,12,false
215,7010,45,false
216,5267,11,false
217,5513,10,false
218,5230,17,false
219,7008,31,false
220,5514,13,false
221,7011,33,false
222,7012,50,false
223,7029,20,false
224,7030,20,false
225,7031,20,false
226,7715,16,true
227,7716,12,true
228,7717,13,true
229,7718,13,true
230,7719,13,true
231,7720,18,true
232,7721,25,true
233,7722,27,true
234,7723,28,true
235,7724,51,false
236,7725,7,true
237,7726,11,true
238,7727,16,true
239,7728,17,true
240,7729,21,true
241,7730,36,true
242,7731,42,true
243,7732,43,true
244,7733,51,false
245,7734,51,false
246,7735,11,true
247,7736,12,true
248,7737,14,true
249,7738,23,true
250,7739,24,true
251,7740,24,true
252,7741,31,true
253,7742,32,true
254,7743,33,true
255,7744,40,true
256,7758,30,true
257,7759,46,true
258,7760,55,false
259,7761,30,true
260,7762,46,true
261,7763,55,false
262,7764,30,true
263,7765,46,true
264,7766,55,false
265,7610,55,false
266,7588,70,false
267,7589,70,false
268,5146,70,false
269,7611,55,false
270,7590,70,false
271,7591,70,false
272,7592,70,false
273,7593,70,false
274,7594,70,false
275,7595,70,false
276,8030,70,false
277,5147,70,false
278,5148,70,false
279,5149,70,false
280,5150,70,false
281,5151,70,false
282,8031,70,false
283,5365,70,false
284,8024,70,true
285,5120,80,false
286,5394,80,false
287,9519,80,false
288,9518,80,false
289,10092,50,true
290,10093,90,false
291,10096,90,false
292,10099,55,true
293,10094,31,true
294,10095,55,false
295,10097,31,true
296,10098,55,false
297,5521,30,false
298,5126,80,false
299,12531,120,false
300,12551,130,false
301,12534,130,true
302,12552,125,false
303,12553,120,false
304,12631,133,false
305,12555,136,false
306,12554,136,false
307,12537,136,true
308,12556,142,false
309,12532,139,false
310,12632,142,false
311,12557,148,false
312,12558,150,false
313,12535,145,true
314,12539,145,false
315,12533,148,false
316,12559,133,false
317,12560,145,false
318,12538,150,false
319,5127,150,false
320,5108,80,false
321,5109,120,false
322,5162,125,false
323,12941,130,false
324,5112,133,false
325,5161,136,false
326,12901,139,false
327,5214,139,false
328,5218,139,false
329,5117,142,false
330,5159,145,false
331,12942,148,false
332,12966,145,true
333,12967,145,true
334,12536,180,false
335,12540,180,false
336,12945,180,false
337,5226,180,false
338,5163,180,false
339,5160,180,false
340,5220,150,true
341,5224,150,true
342,5403,80,false
343,5384,80,false
344,12597,120,false
345,12880,130,false
346,12883,125,false
347,12878,130,true
348,12598,133,false
349,12578,133,false
350,12585,136,false
351,12893,136,true
352,12879,136,true
353,12885,136,false
354,12638,139,false
355,12887,142,false
356,12639,142,false
357,12579,145,true
358,12586,145,false
359,12642,145,false
360,12643,148,false
361,12640,148,false
362,12891,148,false
363,12641,150,false
364,12900,150,false
365,12896,80,false
366,12899,120,false
367,12877,125,false
368,12882,130,false
369,12943,133,false
370,12884,136,false
371,12889,139,false
372,12968,139,false
373,12971,139,false
374,12944,145,false
375,12897,142,false
376,12898,148,false
377,12969,145,true
378,12972,145,true
379,12634,180,false
380,12587,180,false
381,12902,180,false
382,4833,180,false
383,12903,180,false
384,12904,180,false
385,12970,150,true
386,12973,150,true
387,10335,70,true
388,13759,148,false
389,13760,150,false
390,13761,139,false
391,13762,150,false
392,13763,148,false
393,13764,139,false
394,13765,80,false
395,13767,125,false
396,13768,130,false
397,14154,180,false
398,14956,180,false
399,14159,180,false
400,14160,180,false
401,14957,180,false
402,14148,180,false
403,14955,180,false
404,14151,180,false
405,14190,180,false
406,0,0,false
407,0,0,false
408,0,0,false
409,0,0,false
410,0,0,false
411,0,0,false
412,0,0,false
413,0,0,false
414,0,0,false
415,0,0,false
416,0,0,false
417,0,0,false
418,0,0,false
419,0,0,false
420,0,0,false
421,0,0,false
422,0,0,false
423,0,0,false
424,0,0,false
425,0,0,false
426,0,0,false
427,0,0,false
428,0,0,false
429,0,0,false
430,0,0,false
431,0,0,false
432,0,0,false
433,0,0,false
434,0,0,false
435,0,0,false
436,0,0,false
437,0,0,false
438,0,0,false
439,0,0,false
440,0,0,false
441,0,0,false
442,0,0,false
443,0,0,false
444,0,0,false
445,0,0,false
446,0,0,false
447,0,0,false
448,0,0,false
449,0,0,false
450,0,0,false
451,0,0,false
452,0,0,false
453,0,0,false
454,0,0,false
455,0,0,false
456,0,0,false
457,0,0,false
458,0,0,false
459,0,0,false
460,0,0,false
461,0,0,false
462,0,0,false
463,0,0,false
464,0,0,false
465,0,0,false
466,0,0,false
467,0,0,false
468,0,0,false
469,0,0,false
470,0,0,false
471,0,0,false
472,0,0,false
473,0,0,false
474,0,0,false
475,0,0,false
476,0,0,false
477,0,0,false
478,0,0,false
479,0,0,false
480,0,0,false
481,0,0,false
482,0,0,false
483,0,0,false
484,0,0,false
485,0,0,false
486,0,0,false
487,0,0,false
488,0,0,false
489,0,0,false
490,0,0,false
491,0,0,false
492,0,0,false
493,0,0,false
494,0,0,false
495,0,0,false
496,0,0,false
497,0,0,false
498,0,0,false
499,0,0,false
500,0,0,false
501,2000267,4,false
502,2000265,1,false
503,2000270,4,false
504,2000268,1,false
505,2000271,1,false
506,2000273,1,false
507,2000277,8,false
508,2000275,5,false
509,2000280,8,false
510,2000278,5,false
511,2000281,5,false
512,2000283,5,false
513,2000287,13,false
514,2000285,10,false
515,2000288,13,false
516,2000268,10,false
517,2000289,10,false
518,2000293,13,false
519,2000291,10,false
520,2000295,18,false
521,2000294,15,false
522,2000296,15,false
523,2000298,15,false
524,2000308,18,false
525,2000303,15,false
526,2000302,18,false
527,2000300,15,false
528,2000306,23,false
529,2000304,20,false
530,2000307,20,false
531,2000309,20,false
532,2000271,20,false
533,2000316,28,false
534,2000311,25,false
535,2000295,28,false
536,2000294,25,false
537,2000313,25,false
538,2000315,25,false
539,2000317,25,false
540,2000464,30,false
541,2000465,33,false
542,2000466,30,false
543,2000467,30,false
544,2000468,30,false
545,2000911,35,false
546,2000912,38,false
547,2000913,35,false
548,2000914,35,false
549,2000915,35,false
550,2000916,38,false
551,2000917,40,false
552,2000918,43,false
553,2000919,40,false
554,2000920,40,false
555,2000921,40,false
556,2000922,43,false
557,2000923,45,false
558,2000924,48,false
559,2000925,45,false
560,2000926,45,false
561,2000927,45,false
562,2000928,48,false
563,2000469,1,false
564,2000470,4,false
565,2000471,1,false
566,2000472,4,false
567,2000473,1,false
568,2000474,1,false
569,2000475,5,false
570,2000476,8,false
571,2000477,5,false
572,2000478,8,false
573,2000479,5,false
574,2000480,5,false
575,2000481,10,false
576,2000482,13,false
577,2000483,10,false
578,2000484,13,false
579,2000485,10,false
580,2000486,10,false
581,2000487,13,false
582,2000488,15,false
583,2000489,18,false
584,2000490,15,false
585,2000491,15,false
586,2000492,15,false
587,2000493,18,false
588,2000494,20,false
589,2000495,23,false
590,2000496,20,false
591,2000497,20,false
592,2000498,20,false
593,2000499,25,false
594,2000500,28,false
595,2000501,25,false
596,2000502,25,false
597,2000503,25,false
598,2000504,30,false
599,2000505,33,false
600,2000506,30,false
601,2000507,30,false
602,2000508,30,false
603,2000893,35,false
604,2000894,38,false
605,2000895,35,false
606,2000896,35,false
607,2000897,35,false
608,2000898,38,false
609,2000899,40,false
610,2000900,43,false
611,2000901,40,false
612,2000902,40,false
613,2000903,40,false
614,2000904,43,false
615,2000905,45,false
616,2000906,48,false
617,2000907,45,false
618,2000908,45,false
619,2000909,45,false
620,2000910,48,false
621,6688,40,false
622,6689,45,false
623,6690,50,false
624,6691,50,false
625,6692,50,false
626,2001391,1,false
627,2001392,2,false
628,2001415,3,false
629,2001416,5,false
630,2001426,4,false
631,2001427,5,false
632,2001388,1,false
633,2001389,3,false
634,2001412,3,false
635,2001413,4,false
636,2001424,4,false
637,2001425,5,false
638,12241,136,false
639,12242,150,false
640,12243,150,false
641,2001846,50,false
642,2001845,130,false
643,2001847,50,false
644,2001849,50,false
645,2001848,130,false
646,2001851,125,false
647,2001850,136,false
648,2001852,125,false
649,2001853,125,false
650,2001855,133,false
651,2001854,142,false
652,2001856,133,false
653,2001858,133,false
654,2001857,142,false
655,2001859,139,false
656,2001860,139,false
657,2001862,139,false
658,2001861,148,false
659,2001864,145,false
660,2001863,150,false
661,2001865,145,false
662,2001867,145,false
663,2001866,150,false
664,2001823,50,false
665,2001822,130,false
666,2001824,50,false
667,2001826,50,false
668,2001825,130,false
669,2001828,125,false
670,2001827,136,false
671,2001829,125,false
672,2001830,125,false
673,2001832,133,false
674,2001831,142,false
675,2001833,133,false
676,2001835,133,false
677,2001834,142,false
678,2001836,139,false
679,2001837,139,false
680,2001839,139,false
681,2001838,148,false
682,2001841,145,false
683,2001840,150,false
684,2001842,145,false
685,2001844,145,false
686,2001843,150,false
687,12949,150,false
688,12946,150,false
689,12948,150,false
690,12947,150,false
691,12950,150,false
692,12954,180,false
693,12951,180,false
694,12953,180,false
695,12952,180,false
696,12955,180,false
697,12959,150,false
698,12956,150,false
699,12958,150,false
700,12957,150,false
701,12960,150,false
702,12964,180,false
703,12961,180,false
704,12963,180,false
705,12962,180,false
706,12965,180,false
707,13750,180,false
708,13752,180,false
709,13753,180,false
710,13631,180,false
711,0,0,false
712,0,0,false
713,0,0,false
714,0,0,false
715,0,0,false
716,0,0,false
717,0,0,false
718,0,0,false
719,0,0,false
720,0,0,false
721,0,0,false
722,0,0,false
723,0,0,false
724,0,0,false
725,0,0,false
726,0,0,false
727,0,0,false
728,0,0,false
729,0,0,false
730,0,0,false
731,0,0,false
732,0,0,false
733,0,0,false
734,0,0,false
735,0,0,false
736,0,0,false
737,0,0,false
738,0,0,false
739,0,0,false
740,0,0,false
741,0,0,false
742,0,0,false
743,0,0,false
744,0,0,false
745,0,0,false
746,0,0,false
747,0,0,false
748,0,0,false
749,0,0,false
750,0,0,false
751,0,0,false
752,0,0,false
753,0,0,false
754,0,0,false
755,0,0,false
756,0,0,false
757,0,0,false
758,0,0,false
759,0,0,false
760,0,0,false
761,0,0,false
762,0,0,false
763,0,0,false
764,0,0,false
765,0,0,false
766,0,0,false
767,0,0,false
768,0,0,false
769,0,0,false
770,0,0,false
771,0,0,false
772,0,0,false
773,0,0,false
774,0,0,false
775,0,0,false
776,0,0,false
777,0,0,false
778,0,0,false
779,0,0,false
780,0,0,false
781,0,0,false
782,0,0,false
783,0,0,false
784,0,0,false
785,0,0,false
786,0,0,false
787,0,0,false
788,0,0,false
789,0,0,false
790,0,0,false
791,0,0,false
792,0,0,false
793,0,0,false
794,0,0,false
795,0,0,false
796,0,0,false
797,0,0,false
798,0,0,false
799,0,0,false
800,0,0,false
