Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [SHORT] [0xE],3 [SHORT] [0x10],4 [SHORT] [0x12],5 [UBYTE] [0x14],6 [UBYTE] [0x15],7 [USHORT] [0xC],8 [UBYTE] [0x16],9 [UINT] [0x8]
0,"","",483,927,0,0,0,0,0,0
1,"A　洁白浅滩","A",640,880,100,1,1,180,10,10610
2,"B　溺没海1","B",570,750,300,1,1,180,10,10610
3,"C　溺没海2","C",740,700,300,4,1,240,10,27840
4,"D　无光海盆","D",400,850,500,4,2,240,10,27840
5,"E　溺没海3","E",650,610,200,7,2,300,11,46660
6,"F　利米拉拉海沟南端","F",850,850,600,7,3,300,11,46660
7,"G　伞峡","G",260,760,100,10,1,360,11,75920
8,"H　俘虏岛","H",120,840,100,14,1,420,12,102600
9,"I　石人岛","I",380,660,100,17,1,420,12,118350
10,"J　无名沉船","J",900,600,600,20,3,480,12,0
11,"","",0,0,0,0,0,0,0,0
12,"","",0,0,0,0,0,0,0,0
13,"","",0,0,0,0,0,0,0,0
14,"","",0,0,0,0,0,0,0,0
15,"","",0,0,0,0,0,0,0,0
16,"","",0,0,0,0,0,0,0,0
17,"","",0,0,0,0,0,0,0,0
18,"","",0,0,0,0,0,0,0,0
19,"","",0,0,0,0,0,0,0,0
20,"","",0,0,0,0,0,0,0,0
21,"","",0,0,0,0,0,0,0,0
22,"","",0,0,0,0,0,0,0,0
23,"","",0,0,0,0,0,0,0,0
24,"","",0,0,0,0,0,0,0,0
25,"","",0,0,0,0,0,0,0,0
26,"","",0,0,0,0,0,0,0,0
27,"","",0,0,0,0,0,0,0,0
28,"","",0,0,0,0,0,0,0,0
29,"","",0,0,0,0,0,0,0,0
30,"","",0,0,0,0,0,0,0,0
31,"","",0,0,0,0,0,0,0,0
