Index,0 [UBYTE] [0xC],1 [FLOAT] [0x4],2 [BOOL] [0xD],3 [FLOAT] [0x8],4 [STRING] [0x0]
1,3,1.0,false,1.0,"0"
2,3,5.0,false,1.0,"快！谁来帮个忙！"
3,3,5.0,false,1.0,"小心！魔物过来了！"
4,3,5.0,false,1.0,"小魔精要出来了！不要放跑它们！"
5,3,5.0,false,1.0,"该死！数量太多了！"
6,3,5.0,false,1.0,"魔物已经冲到那里了！"
7,3,5.0,false,1.0,"妖精族要过来了！注意警戒！"
8,3,5.0,false,1.0,"魔物的数量增加了！大家小心！"
9,3,5.0,false,1.0,"这里的治安就交给我们维护！"
10,3,5.0,false,1.0,"不要让盗贼们给看扁了！"
11,3,5.0,false,1.0,"奥猴冲向豆子去了！"
12,3,5.0,false,1.0,"鸟人族攻过来了！"
13,3,5.0,false,1.0,"那是……席兹？！"
14,3,5.0,false,1.0,"竟然又来了！？我们必须保护好树苗！"
15,3,5.0,false,1.0,"魔物们现在很乱！要小心！"
16,3,5.0,false,1.0,"该死……得换个战术了！"
17,3,5.0,false,1.0,"破碎金龟！把他们都干掉！"
18,3,5.0,false,1.0,"有人能来协助我们一下吗？"
19,3,5.0,false,1.0,"谁能来帮帮我！"
20,3,5.0,false,1.0,"什么？巨像兵竟然这么……"
21,3,5.0,false,1.0,"可恶的小魔精！竟然还来！"
22,3,5.0,false,1.0,"我们养的花又被吃了……"
23,3,5.0,false,1.0,"鸟人族过来了！准备迎击！"
24,3,5.0,false,1.0,"谁！谁能来帮帮我！"
25,3,5.0,false,1.0,"好！出击！"
26,2,5.0,false,1.0,"唔哦！"
27,2,5.0,false,1.0,"哈啊！"
28,2,5.0,false,1.0,"嘿！"
29,2,5.0,false,1.0,"嗨！"
30,2,5.0,false,1.0,"还没完呢！"
31,2,5.0,false,1.0,"混蛋！"
32,2,5.0,false,1.0,"喝呀！"
33,2,5.0,false,1.0,"才这点程度！"
34,2,5.0,false,1.0,"呀哈！"
35,2,5.0,false,1.0,"噢噢噢噢！"
36,2,5.0,false,1.0,"滚开！"
37,2,5.0,false,1.0,"宰了你！"
38,2,5.0,false,1.0,"那就陪你玩玩。"
39,2,5.0,false,1.0,"你想当我的对手？"
40,2,3.0,false,1.0,"跪下！"
41,2,3.0,false,1.0,"再叫点好听的！"
42,2,3.0,false,1.0,"不用客气。"
43,2,5.0,false,1.0,"别太狂了！"
44,2,5.0,false,1.0,"不来点刺激的吗！"
45,2,3.0,false,1.0,"跳吧！"
46,2,3.0,false,1.0,"你想要这个？"
47,2,3.0,false,1.0,"哎哎！"
48,2,5.0,false,1.0,"想来报仇吗？"
49,2,5.0,false,1.0,"你、你给我记着！"
50,2,5.0,false,1.0,"哈哈哈哈，真过瘾！"
51,2,5.0,false,1.0,"呜……饶了我吧……"
52,2,3.0,false,1.0,"你、嗝、算哪根葱？"
53,2,3.0,false,1.0,"你这混、嗝、蛋！"
54,2,5.0,false,1.0,"准备好了呼啾！"
55,2,5.0,false,1.0,"我们上吧呼啾！"
56,2,5.0,false,1.0,"好好教训他们呼啾！"
57,2,5.0,false,1.0,"我绝对不会枯萎呼啾！"
58,3,5.0,false,1.0,"就没有对自己的身手有自信的人吗？"
59,3,5.0,false,1.0,"你们这些家伙……绝对不会让你们活着出去！"
60,3,5.0,false,1.0,"放马过来！"
61,3,5.0,false,1.0,"好了！干得不错！"
62,3,5.0,false,1.0,"该死！数量太多了！"
63,3,5.0,false,1.0,"绝对无法饶恕这些偷猎者！"
64,3,5.0,false,1.0,"城里的大人们已经紧迫到需要动用冒险者来干这种脏活了吗？"
65,3,5.0,false,1.0,"怎、怎么会这样……"
66,3,5.0,false,1.0,"你们 什么 别近"
67,3,3.0,false,1.0,"炸弹 啪啪 费劲"
68,3,3.0,false,1.0,"轰轰 轰轰 大爆炸"
69,3,3.0,false,1.0,"砰砰 砰砰 大爆炸"
70,3,5.0,false,1.0,"我们 城堡 坏啦"
71,3,5.0,false,1.0,"过来 坏家伙 打飞"
72,3,3.0,false,1.0,"炸弹 叭叭 好累"
73,3,3.0,false,1.0,"炸弹 炸弹 大爆炸"
74,3,3.0,false,1.0,"轰轰 轰轰 大爆炸"
75,3,5.0,false,1.0,"竟然 城堡 坏啦"
76,3,5.0,false,1.0,"城堡 又又 坏啦"
77,3,5.0,false,1.0,"这里 我们 城堡"
78,3,5.0,false,1.0,"你们 所有 打飞"
79,3,5.0,false,1.0,"疼疼 好疼 等等"
80,3,3.0,false,1.0,"炸弹 噼啪 呼啦"
81,3,3.0,false,1.0,"轰轰 轰轰 超爆炸"
82,3,3.0,false,1.0,"砰砰 砰砰 超爆炸"
83,3,5.0,false,1.0,"大家听我的呼啾！"
84,3,5.0,false,1.0,"我要认真起来了呼啾！"
85,3,5.0,false,1.0,"接下来要动真格的了呼啾！"
86,3,5.0,false,1.0,"真的要动真格的了呼啾！"
87,3,3.0,false,1.0,"大王！"
88,2,3.0,false,1.0,"给我躺下吧！"
89,2,3.0,false,1.0,"哼哼，看这招！"
90,2,3.0,false,1.0,"非常感谢！"
91,3,5.0,false,1.0,"实在是万分感谢！"
92,3,5.0,false,1.0,"呜……"
93,3,5.0,false,1.0,"我们不需要胆小鬼！"
94,3,3.0,false,1.0,"太谢谢您了！啊啊！他来了！"
95,3,5.0,false,1.0,"差不多该去巡视啦。"
96,3,5.0,false,1.0,"哇，满地都是花甲虫！"
