Index,0 [UBYTE] [0xC],1 [UBYTE] [0xD],2 [UBYTE] [0xE],3 [UINT] [0x0],4 [UBYTE] [0xF],5 [UINT] [0x4],6 [UINT] [0x8],7 [BBOOL] [0x13],8 [BBOOL] [0x13],9 [BBOOL] [0x13],10 [UBYTE] [0x10],11 [UBYTE] [0x11],12 [UBYTE] [0x12],13 [BBOOL] [0x13]
131072,0,17,0,0,0,0,0,false,false,true,0,0,0,false
131073,1,17,0,0,0,0,6686,false,false,true,0,0,0,false
131074,2,17,0,0,0,0,6476,false,false,true,0,0,0,false
131075,3,17,0,0,0,0,6479,false,false,true,0,0,0,false
131076,4,17,0,0,2,720898,6475,false,false,true,0,0,0,false
131077,5,17,0,0,0,0,6481,false,false,true,0,0,0,false
131078,6,17,0,0,0,0,6482,false,false,true,0,0,0,false
131079,7,17,0,0,0,0,6483,false,false,true,0,0,0,false
131080,8,17,0,0,0,0,6484,false,false,true,0,0,0,false
131081,9,17,0,0,0,0,6485,false,false,true,0,0,0,false
131082,10,17,0,0,0,0,6486,false,false,true,0,0,0,false
131083,11,17,0,0,0,0,6487,false,false,true,0,0,0,false
131084,12,17,0,0,20,0,6502,false,false,true,0,0,0,false
131085,13,17,0,0,0,0,6488,false,false,true,0,0,0,false
131086,14,17,0,0,0,0,6489,false,false,true,0,0,0,false
131087,15,17,0,0,0,0,6477,false,false,true,0,0,0,false
131088,16,17,0,0,0,0,6478,false,false,true,0,0,0,false
131089,17,17,0,0,0,0,6480,false,false,true,0,0,0,false
131090,18,17,0,0,0,0,6490,false,false,true,0,0,0,false
131091,19,17,0,0,0,0,6491,false,false,true,0,0,0,false
131092,20,17,0,0,0,0,6687,false,false,true,0,0,0,false
131093,21,17,0,0,0,0,6492,false,false,true,0,0,0,false
131094,22,17,0,0,1,0,6600,true,false,false,0,1,1,false
131095,23,17,0,0,0,0,6494,false,false,true,0,0,0,false
131096,24,17,0,0,0,0,6495,false,false,true,0,0,0,false
131097,25,17,0,0,0,0,6496,false,false,true,0,0,0,false
131098,26,17,0,0,11,721037,6497,false,false,true,0,0,0,false
131099,27,17,0,0,0,0,6503,false,false,true,0,0,0,false
131100,28,17,0,0,12,721037,6498,false,false,true,0,0,0,false
131101,29,17,0,0,13,0,6499,false,false,true,0,0,0,false
131102,30,17,0,0,14,721037,6500,false,false,true,0,0,0,false
131103,31,17,0,0,15,0,6501,false,false,true,0,0,0,false
131104,32,17,0,0,0,0,6504,false,false,true,0,0,0,false
131105,33,17,0,0,0,0,6505,false,false,true,0,0,0,false
131106,34,17,0,0,0,721037,6506,false,false,true,0,0,0,false
131107,35,17,0,0,0,0,6507,false,false,true,0,0,0,false
131108,36,17,0,0,0,0,6508,false,false,true,0,0,0,false
131109,37,17,0,0,0,0,6509,false,false,true,0,0,0,false
131110,38,17,0,0,0,0,6510,false,false,true,0,0,0,false
131111,39,17,0,0,0,0,6511,false,false,true,0,0,0,false
131112,40,17,0,0,0,721037,6512,false,false,true,0,0,0,false
131113,41,17,0,0,24,720898,7115,false,false,true,0,0,0,false
131114,42,17,0,0,0,0,7116,false,false,true,0,0,0,false
131115,43,17,0,0,0,0,7117,false,false,true,0,0,0,false
131116,44,17,14,0,30,0,7118,false,false,true,0,0,0,false
131117,45,17,14,0,30,0,7119,false,false,true,0,0,0,false
131118,46,17,14,0,30,0,7120,false,false,true,0,0,0,false
131119,47,17,14,0,30,0,7121,false,false,true,0,0,0,false
131120,48,17,0,0,0,0,7122,false,false,true,0,0,0,false
131121,49,17,0,0,0,0,7123,false,false,true,0,0,0,false
131122,50,17,0,0,0,0,7124,false,false,true,0,0,0,false
131123,51,17,0,0,0,0,7125,false,false,true,0,0,0,false
131124,52,17,0,0,0,0,7126,false,false,true,0,0,0,false
131125,53,17,0,0,0,0,7127,false,false,true,0,0,0,false
131126,54,17,2,0,23,0,7128,false,false,true,0,0,0,false
131127,55,17,2,0,23,0,7129,false,false,true,0,0,0,false
131128,56,17,2,0,23,0,7130,false,false,true,0,0,0,false
131129,57,17,5,0,28,721097,7989,true,false,false,0,1,1,false
