Index,0 [USHORT] [0x4],1 [USHORT] [0x6],2 [UBYTE] [0x8],3 [BBOOL] [0x9],4 [STRING] [0x0]
0,0,0,0,false,""
1,57,1,0,false,"向<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>发送了入队邀请。"
2,57,1,0,false,"取消了向<value>发送的入队邀请。"
3,57,33,0,false,"收到了<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>发来的入队邀请。"
4,57,1,0,false,"退出了小队。"
5,57,1,0,false,"小队解散了。 "
6,57,33,0,false,"<value>被移除出了小队。"
7,57,33,0,false,"将队长权限转移给了<value>。"
8,57,1,0,false,"将<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>加入到黑名单中。"
9,57,1,0,false,"将<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>从黑名单中移除。"
10,57,33,0,false,"向<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>发送了好友邀请。"
11,57,33,0,false,"收到了<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>发来的好友邀请。"
12,57,1,0,false,"将<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>从好友名单中移除。"
13,57,1,0,false,"向<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>发送了加入通讯贝“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”的邀请。"
14,57,33,0,false,"收到了<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>发来的加入通讯贝“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”的邀请。"
15,57,1,0,false,"将<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>任命为“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”的队长。"
16,57,1,0,false,"解除了<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>作为“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”队长的任命。"
17,57,1,0,false,"退出了通讯贝“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”。"
18,57,33,0,false,"通讯贝“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”解散了。"
19,57,1,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>被移除出了通讯贝“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”。"
20,57,1,0,false,"被移除出了通讯贝“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”。"
21,57,1,0,false,"通讯贝“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”的管理员权限转交给了<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>。"
22,57,33,0,false,"通讯贝“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”的管理员权限转交给了<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>。"
23,57,33,0,false,"接受了通讯贝“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”的队长任命。"
24,57,1,0,false,"解除了通讯贝“<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>”的队长任命。"
25,57,33,0,false,"邮件已发送。"
26,57,1,0,false,"邮件已删除。"
27,57,1,0,false,"从邮件中获得了<ref:Item><if(INT: 3 ? 2 ) {×<value>} else {}>。"
28,57,1,0,false,"从邮件中获得了<value>金币。"
29,60,9,0,false,"未处理道具数量到达上限，将无法接收带有道具附件的新邮件。"
30,60,8,0,false,"<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>现在无法进行交易。"
31,60,8,0,false,"该道具无法交易给其他玩家。"
32,57,1,0,false,"向<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>发送了交易申请。"
33,57,1,0,false,"等待<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>确认交易内容。"
34,57,1,0,false,"收到了<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>发来的交易申请。"
35,57,1,0,false,"交易开始。"
36,57,1,0,false,"交易取消。"
37,57,1,0,false,"交易内容变更。"
38,57,33,0,false,"交易完成。"
39,60,8,0,false,"无法进行交易，背包已满。"
40,60,8,0,false,"无法进行交易，对方背包已满。"
41,60,8,0,false,"有损耗的道具无法进行交易。"
42,60,8,0,false,"无法进行交易，珍稀道具只能持有一个。"
43,60,8,0,false,"无法进行交易，对方已经持有珍稀道具。"
44,57,8,0,false,"离开交易对象会中断交易。"
45,60,8,0,false,"已达到可输入文字上限。"
46,60,8,0,false,"无法交易，所持金币已达上限。"
47,60,8,0,false,"无法进行交易，对方所持金币已达上限。"
48,60,8,0,false,"无法向“忙碌中”状态的玩家申请交易。"
49,60,1,0,false,"无法向<value>发送悄悄话，对方现在处于“忙碌中”状态。"
50,60,1,0,false,"向<value>发送悄悄话失败。"
51,60,8,0,false,"没有找到目标玩家。"
52,57,33,0,false,"开始跟随<if( 9 ) {<ref:ObjStr>} else {OBJ: 4 }>。"
53,57,33,0,false,"取消跟随。"
54,60,8,0,false,"无法完成交易。"
55,60,8,0,false,"无法向黑名单中的玩家发送悄悄话。"
56,60,8,0,false,"无法向黑名单中的玩家申请交易。"
57,60,8,0,false,"无法向黑名单中的玩家发送组队邀请。"
58,60,8,0,false,"无法向黑名单中的玩家发送通讯贝邀请。"
59,60,8,0,false,"背包中还剩下<value>格空位。"
60,57,33,0,false,"<if( 8 ) {<ref:ObjStr>} else {OBJ: 3 }>加入了小队。"
