Index,0 [UINT] [0x0],1 [UINT] [0x4],2 [UINT] [0x8],3 [UINT] [0xC],4 [UINT] [0x10],5 [UINT] [0x14],6 [UINT] [0x18],7 [UINT] [0x1C],8 [UINT] [0x20],9 [UINT] [0x24],10 [UINT] [0x28],11 [UINT] [0x2C],12 [UINT] [0x30],13 [UINT] [0x34],14 [UINT] [0x38],15 [UINT] [0x3C]
851968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851969,65538,65734,66249,0,66848,67013,66997,0,0,0,0,0,0,0,0,0
851970,65573,66726,0,0,0,0,0,65663,0,65747,65754,65755,65559,65557,65558,67014
851971,0,0,65974,66329,65939,66371,66363,66848,0,66865,0,66904,66866,0,66870,0
851972,66546,65538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851973,0,0,0,0,65917,65603,65670,65871,65937,65883,66249,66286,66587,66968,65853,0
851974,65694,66098,66021,66244,66317,0,0,0,0,0,0,0,0,0,0,0
851975,0,65561,0,65747,0,65754,65755,65559,65557,65558,0,0,0,0,0,0
851976,0,0,0,65978,0,65850,65851,66587,66377,0,66674,66997,0,0,0,0
851977,0,65664,66522,0,0,0,0,0,0,0,0,0,0,0,0,0
851978,0,0,0,0,0,65693,0,65914,65952,0,0,0,0,0,0,0
851979,65603,65696,65670,65938,65991,65996,0,0,0,0,0,0,0,0,0,0
851980,67106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851981,66677,65783,65784,65785,0,0,0,0,0,0,0,0,0,0,0,0
851982,0,66387,66509,0,0,0,0,0,0,0,0,0,0,0,0,0
851983,65692,65953,65992,65993,0,0,0,0,0,0,0,0,0,0,0,0
851984,65706,66940,0,0,66304,0,0,0,0,65855,0,0,0,0,65952,0
851985,66157,66591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851986,0,65991,66000,66410,0,0,0,0,0,0,0,0,0,0,0,0
851987,65582,66013,65639,65850,65851,0,0,0,0,0,0,0,0,0,0,0
851988,65634,65666,65582,0,0,0,0,0,0,0,0,0,0,0,0,0
851989,65695,66436,67102,0,0,0,0,0,0,0,0,0,0,0,0,0
851990,65633,0,66442,66439,66440,0,0,0,0,0,0,0,0,0,0,0
851991,0,65661,65571,65679,0,0,0,0,0,0,0,0,0,0,0,0
851992,66450,65918,66500,0,0,0,0,0,0,0,0,0,0,0,0,0
851993,65848,65582,65747,65754,65755,65559,65557,65558,66008,65767,65567,66107,66019,65989,65990,65847
851994,65604,65606,66592,0,66249,0,0,0,0,0,0,0,0,0,0,0
851995,65606,65592,66250,66258,0,0,0,0,0,0,0,0,0,0,0,0
851996,65658,65989,65990,65646,0,0,0,0,0,0,0,0,0,0,0,0
851997,66254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851998,65707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851999,65889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852000,0,66002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852001,66004,66601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852002,67114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852003,65974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852004,65621,65659,65660,0,0,0,0,0,0,0,0,0,0,0,0,0
852007,65764,0,66171,66090,0,0,0,0,0,0,0,0,0,0,0,0
852008,65631,65865,66098,66382,0,0,0,0,0,0,0,0,0,0,0,0
852009,65732,65884,65885,0,0,0,0,0,0,0,0,0,0,0,0,0
852010,65733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852011,0,65867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852012,720916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852013,720916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852014,131140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852015,65946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852017,0,65843,66039,65763,0,0,0,0,0,0,0,0,0,0,0,0
852019,66069,65840,65857,65699,65789,65881,65882,65822,66018,66089,67021,0,0,0,0,0
852020,0,65863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852021,0,65974,66247,66681,0,0,0,0,0,0,0,0,0,0,0,0
852022,0,0,66257,0,0,0,0,0,0,0,0,0,0,0,0,0
852023,0,66264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852024,0,0,66264,66813,0,0,0,0,0,0,0,0,0,0,0,0
852025,65583,66162,66173,0,0,0,0,0,0,0,0,0,0,0,0,0
852026,0,0,66246,66813,66791,0,0,0,0,0,0,0,0,0,0,0
852027,65947,65877,66161,65992,66421,65993,66970,0,0,0,0,0,0,0,0,0
852028,65584,65629,65977,0,0,0,0,0,0,0,0,0,0,0,0,0
852029,66004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852030,65923,65583,66094,66066,0,66385,0,0,0,0,0,0,0,0,0,0
852031,67041,65951,0,67038,0,0,0,0,0,0,0,0,0,0,0,0
852032,65583,66006,66361,0,0,0,0,0,0,0,0,0,0,0,0,0
852033,0,65919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852034,65858,0,66041,66265,66354,0,0,0,0,0,0,0,0,0,0,0
852035,65841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852036,65875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852037,0,66254,66321,0,0,0,0,0,0,0,0,0,0,0,0,0
852038,0,66601,66302,66764,0,0,0,0,0,0,0,0,0,0,0,0
