Index,0 [STRING] [0x0],1 [BYTE] [0xC],2 [STRING] [0x4],3 [BYTE] [0xD],4 [BYTE] [0xE],5 [BYTE] [0xF],6 [BYTE] [0x10],7 [BYTE] [0x11],8 [STRING] [0x8],9 [UBYTE] [0x14]
0,"",0,"",0,0,1,0,0,"",0
1,"",0,"",0,0,0,0,0,"",0
2,"",0,"",0,0,0,0,0,"",0
3,"",0,"",0,0,0,0,0,"",0
4,"",0,"",0,0,0,0,0,"",0
5,"",0,"",0,0,0,0,0,"",0
6,"",0,"",0,0,0,0,0,"",0
7,"",0,"",0,0,0,0,0,"",0
8,"",0,"",0,0,0,0,0,"",0
9,"",0,"",0,0,0,0,0,"",0
10,"",0,"",0,0,0,0,0,"",0
11,"",0,"",0,0,0,0,0,"",0
12,"",0,"",0,0,0,0,0,"",0
13,"",0,"",0,0,0,0,0,"",0
14,"",0,"",0,0,0,0,0,"",0
15,"",0,"",0,0,0,0,0,"",0
16,"",0,"",0,0,0,0,0,"",0
17,"",0,"",0,0,0,0,0,"",0
18,"行会理符",0,"",0,0,1,0,0,"",0
19,"",0,"",0,0,0,0,0,"",0
20,"海德林",0,"",0,0,1,0,0,"",0
21,"艾欧泽亚",0,"",0,0,1,0,0,"",0
22,"拉诺西亚",0,"",0,0,1,0,0,"",0
23,"黑衣森林",0,"",0,0,1,0,0,"",0
24,"萨纳兰",0,"",0,0,1,0,0,"",0
25,"库尔札斯",0,"",0,0,1,0,0,"",0
26,"摩杜纳",0,"",0,0,1,0,0,"",0
27,"利姆萨·罗敏萨",0,"",0,0,1,0,0,"",0
28,"利姆萨·罗敏萨上层甲板",0,"",0,0,1,0,0,"",0
29,"利姆萨·罗敏萨下层甲板",0,"",0,0,1,0,0,"",0
30,"中拉诺西亚",0,"",0,0,1,0,0,"",0
31,"拉诺西亚低地",0,"",0,0,1,0,0,"",0
32,"东拉诺西亚",0,"",0,0,1,0,0,"",0
33,"西拉诺西亚",0,"",0,0,1,0,0,"",0
34,"拉诺西亚高地",0,"",0,0,1,0,0,"",0
35,"沙斯塔夏溶洞",0,"",0,0,1,0,0,"",0
36,"布雷福洛克斯野营地",0,"",0,0,1,0,0,"",0
37,"放浪神古神殿",0,"",0,0,1,0,0,"",0
38,"",0,"",0,0,0,0,0,"",0
39,"格里达尼亚",0,"",0,0,1,0,0,"",0
40,"乌尔达哈现世回廊",0,"",0,0,1,0,0,"",0
41,"乌尔达哈来生回廊",0,"",0,0,1,0,0,"",0
42,"西萨纳兰",0,"",0,0,1,0,0,"",0
43,"中萨纳兰",0,"",0,0,1,0,0,"",0
44,"东萨纳兰",0,"",0,0,1,0,0,"",0
45,"南萨纳兰",0,"",0,0,1,0,0,"",0
46,"北萨纳兰",0,"",0,0,1,0,0,"",0
47,"樵鸣洞",0,"",0,0,1,0,0,"",0
48,"铜铃铜山",0,"",0,0,1,0,0,"",0
49,"日影地修炼所",0,"",0,0,1,0,0,"",0
50,"喀恩埋没圣堂",0,"",0,0,1,0,0,"",0
51,"乌尔达哈",0,"",0,0,1,0,0,"",0
52,"格里达尼亚新街",0,"",0,0,1,0,0,"",0
53,"格里达尼亚旧街",0,"",0,0,1,0,0,"",0
54,"黑衣森林中央林区",0,"",0,0,1,0,0,"",0
55,"黑衣森林东部林区",0,"",0,0,1,0,0,"",0
56,"黑衣森林南部林区",0,"",0,0,1,0,0,"",0
57,"黑衣森林北部林区",0,"",0,0,1,0,0,"",0
58,"塔姆·塔拉墓园",0,"",0,0,1,0,0,"",0
59,"静语庄园",0,"",0,0,1,0,0,"",0
60,"",0,"",0,0,0,0,0,"",0
61,"托托·拉克千狱",0,"",0,0,1,0,0,"",0
62,"伊修加德",0,"",0,0,1,0,0,"",0
63,"库尔札斯中央高地",0,"",0,0,1,0,0,"",0
64,"泽梅尔要塞",0,"",0,0,1,0,0,"",0
65,"黄金谷",0,"",0,0,1,0,0,"",0
66,"",0,"",0,0,0,0,0,"",0
67,"摩杜纳",0,"",0,0,1,0,0,"",0
68,"翡翠湖滨",0,"",0,0,1,0,0,"",0
69,"翠泪择伐区",0,"",0,0,1,0,0,"",0
70,"弯枝",0,"",0,0,1,0,0,"",0
71,"酸模避风港",0,"",0,0,1,0,0,"",0
72,"朽骨森",0,"",0,0,1,0,0,"",0
73,"蜜场",0,"",0,0,1,0,0,"",0
74,"九藤",0,"",0,0,1,0,0,"",0
75,"荆棘森",0,"",0,0,1,0,0,"",0
76,"百灵啼",0,"",0,0,1,0,0,"",0
77,"妖精领",0,"",0,0,1,0,0,"",0
