Index,0 [INT] [0x8],1 [INT] [0xC],2 [UINT] [0x0],3 [UINT] [0x4],4 [INT] [0x10]
0,0,0,1,0,0
1,0,0,1,0,0
2,1619,1,1,1120,2
3,1691,1,1,1060,2
4,1761,1,1,1060,2
5,1830,1,1,1060,2
6,1903,1,1,1120,2
7,2008,1,1,1120,2
8,2114,1,1,1120,2
9,2154,1,1,1120,2
10,1630,4,1,1770,2
11,1703,4,1,1770,2
12,1773,4,1,1770,2
13,1842,4,1,1770,2
14,1912,4,1,1770,2
15,2018,4,1,1770,2
16,2074,4,1,1770,2
17,2163,4,1,1770,2
18,1646,6,1,2970,2
19,1714,6,1,2970,2
20,1784,6,1,2970,2
21,1853,6,1,2970,2
22,1923,6,1,2970,2
23,2029,6,1,2970,2
24,2127,6,1,2970,2
25,2172,6,1,2970,2
26,1654,7,1,3530,2
27,1721,7,1,3530,2
28,1791,7,1,3530,2
29,1790,7,1,3530,2
30,1859,7,1,3530,2
31,1860,7,1,3530,2
32,1929,7,1,3530,2
33,2034,7,1,3530,2
34,2085,7,1,3530,2
35,2086,7,1,3530,2
36,2179,7,1,3530,2
37,1726,8,1,4200,2
38,1794,8,1,4200,2
39,1865,8,1,4200,2
40,1935,8,1,4200,2
41,2037,8,1,4200,2
42,2091,8,1,4200,2
43,2182,8,1,4200,2
44,1668,9,1,7040,2
45,1738,9,1,7040,2
46,1808,9,1,7040,2
47,1877,9,1,7040,2
48,1947,9,1,7040,2
49,1990,9,1,7040,2
50,2100,9,1,7040,2
51,2197,9,1,7040,2
52,2198,9,1,7040,2
53,2716,1,1,680,3
54,3048,1,1,1040,3
55,3566,1,1,660,3
56,3797,1,1,730,3
57,3073,2,1,1390,3
58,3072,2,1,1390,3
59,3815,2,1,970,3
60,3814,2,1,970,3
61,3816,2,1,970,3
62,3994,2,1,560,3
63,4437,2,1,540,3
64,2253,3,1,1520,3
65,3084,3,1,1470,3
66,3082,3,1,1470,3
67,3085,3,1,1470,3
68,3083,3,1,1470,3
69,3592,3,1,1050,3
70,3359,3,1,1080,3
71,3360,3,1,1080,3
72,4319,3,1,720,3
73,3593,3,1,1050,3
74,3591,3,1,1050,3
75,2761,4,1,1280,3
76,3113,4,1,1960,3
77,3114,4,1,1960,3
78,3112,4,1,1960,3
79,3375,4,1,1360,3
80,4123,4,1,1210,3
81,3393,5,1,1620,3
82,3392,5,1,1620,3
83,3391,5,1,1620,3
84,4027,5,1,1110,3
85,4229,5,1,1190,3
86,2266,6,1,2540,3
87,3633,6,1,1960,3
88,3635,6,1,1960,3
89,3634,6,1,1960,3
90,4128,6,1,1710,3
91,2275,7,1,3380,3
92,3156,7,1,3280,3
93,3155,7,1,3280,3
94,3154,7,1,3280,3
95,3876,7,1,2710,3
96,3877,7,1,2710,3
97,3875,7,1,2710,3
98,4355,7,1,1710,3
99,2283,8,1,4020,3
100,2284,8,1,4020,3
101,2843,8,1,2860,3
102,2842,8,1,2860,3
103,2845,8,1,2860,3
104,2844,8,1,2860,3
105,3437,8,1,3040,3
106,3436,8,1,3040,3
107,3438,8,1,3040,3
108,4252,8,1,2500,3
109,4490,8,1,1900,3
110,4491,8,1,1900,3
111,4495,8,1,2010,3
112,2917,9,1,4800,3
113,3246,9,1,7340,3
114,3703,9,1,4650,3
115,3924,9,1,5100,3
116,5594,1,5,60,1
117,5595,1,5,170,1
118,5596,1,5,350,1
119,4564,1,1,120,1
120,4566,1,1,290,1
121,6017,1,1,2000,1
122,5881,1,1,10000,1
123,4568,2,1,1010,1
124,4567,2,1,1710,1
125,4632,3,1,1440,1
126,4633,3,1,1440,1
127,5597,4,5,690,1
128,5598,4,5,1150,1
129,6020,5,1,4000,1
130,4561,5,1,2850,1
131,6021,6,1,6000,1
132,4634,7,1,2300,1
133,4635,7,1,2300,1
134,4636,8,1,2730,1
135,6022,8,1,8000,1
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,6170,9,1,20000,1
140,6656,9,1,4965,1
141,6526,9,1,5055,1
142,6553,9,1,6930,1
143,6538,9,1,8385,1
144,6556,9,1,6705,1
145,6545,9,1,9075,1
146,6470,9,1,6810,1
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,6662,9,1,1110,1
151,6600,9,1,14470,1
152,0,0,1,0,0
153,0,0,1,0,0
154,1618,1,1,1120,2
155,1690,1,1,1060,2
156,1760,1,1,1060,2
157,1829,1,1,1060,2
158,1902,1,1,1120,2
159,2007,1,1,1120,2
160,2113,1,1,1120,2
161,2153,1,1,1120,2
162,1629,4,1,1770,2
163,1702,4,1,1770,2
164,1772,4,1,1770,2
165,1841,4,1,1770,2
166,1911,4,1,1770,2
167,2017,4,1,1770,2
168,2073,4,1,1770,2
169,2162,4,1,1770,2
170,1645,6,1,2970,2
171,1713,6,1,2970,2
172,1783,6,1,2970,2
173,1852,6,1,2970,2
174,1922,6,1,2970,2
175,2028,6,1,2970,2
176,2081,6,1,2970,2
177,2171,6,1,2970,2
178,1653,7,1,3530,2
179,1720,7,1,3530,2
180,1719,7,1,3530,2
181,1789,7,1,3530,2
182,1858,7,1,3530,2
183,1928,7,1,3530,2
184,1980,7,1,3530,2
185,2033,7,1,3530,2
186,2129,7,1,3530,2
187,2178,7,1,3530,2
188,1725,8,1,4200,2
189,1793,8,1,4200,2
190,1864,8,1,4200,2
191,1934,8,1,4200,2
192,2036,8,1,4200,2
193,2090,8,1,4200,2
