Index,0 [USHORT] [0x8],1 [UINT] [0x4],2 [USHORT] [0xA],3 [USHORT] [0xC],4 [USHORT] [0xE],5 [STRING] [0x0]
0,0,0,0,0,0,""
1,200,15168,148,135,141,"ニャン！"
2,201,15169,152,138,145,"もんげ～！"
3,202,15170,153,139,146,"うぃす！"
4,203,15171,154,180,134,"夏バテだわ…"
5,204,15172,140,148,135,"バカバカしい…"
6,205,15173,141,152,138,"ズラ…"
7,206,15174,145,153,139,"チクショー！"
8,207,15175,146,154,180,"キュピーン！"
9,208,15176,134,140,148,"フン…！"
10,209,15177,135,141,152,"ぶ、武士の情けニャ…"
11,210,15178,138,145,153,"いくゼ！"
12,211,15179,139,146,154,"セツデンチュウ…"
13,212,15180,180,134,140,"ダニ！！"
